match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
376, 1800596, 4142, 27, 8, 2, 0, 0
377, 1800728, 1427, 128, -1, -2, -1, 1
378, 1800637, -4785, -68, 3, 8, 1, 0
379, 1800768, 7372, 3, 11, 4, 2, 1
380, 1800717, -8577, 32, -2, 3, -3, 0
381, 1800647, -10368, -28, -14, -9, -1, 0
382, 1800588, -2060, 0, -7, -9, -1, 0
383, 1800641, 5075, 84, 12, 13, -1, 1
384, 1800723, -14707, -71, -28, -37, -1, 0
385, 1800720, 2426, -51, 8, 2, 3, 0
386, 1800592, 945, -14, -3, -12, -1, 0
387, 1800658, 3850, 33, 1, 0, 2, 1
388, 1800547, -4367, -114, 3, 10, -1, 1
389, 1800480, -7315, 22, -9, -8, -1, 0
390, 1800687, 10316, 80, 9, 7, 1, 1
391, 1800706, -8076, 30, -7, -15, -2, 0
392, 1800663, -6335, -157, -5, 8, -2, 0
393, 1800589, -3086, -47, 3, 7, 1, 0
394, 1800722, 13073, 62, 17, 13, 2, 1
395, 1800516, 13101, 50, 16, 28, 0, 1
397, 1800596, 4889, -18, 1, 4, 1, 0
398, 1800624, -7026, 68, -13, -24, 0, 0
399, 1800564, 12682, 28, 26, 43, 4, 1
400, 1800817, -3884, 50, -13, -28, -1, 0
401, 1800631, 13071, 51, 12, 12, -1, 1
402, 1800606, 10597, 48, 20, 27, 3, 1
403, 1800640, 3558, -174, 2, 2, 3, 1
404, 1800490, 6689, -56, 16, 42, 1, 1
405, 1800725, -8465, -51, -12, 9, -3, 0
406, 1800691, -6458, -81, -8, 16, 2, 0
407, 1800551, -4250, 1, 0, 20, -1, 0
408, 1800692, -8382, -127, -3, -22, -4, 0
409, 1800679, -9418, -38, -13, -22, -1, 0
410, 1800703, 6507, 107, 2, -13, 1, 1
411, 1800590, 10108, -16, 11, 26, 1, 1
412, 1800628, -11749, -30, -15, -6, -2, 0
413, 1800609, 9806, -38, 12, 28, 3, 1
414, 1800681, -8756, 51, -9, -19, 1, 0
415, 1800699, 5625, 88, 6, 6, 1, 1
416, 1800759, 8004, -46, 14, 1, 3, 1
417, 1800501, -9857, -45, -11, -6, -2, 0
419, 1800728, -15894, -49, -24, -13, -4, 0
421, 1800685, -1221, 14, -1, -24, 2, 0
422, 1800746, -4463, 21, -4, 11, -1, 1
423, 1800652, -3335, 99, -3, -13, -3, 1
424, 1800659, -5858, -77, 0, -13, 3, 1
425, 1800742, 1163, 41, -6, -17, 1, 0
426, 1800640, -4374, -118, 0, 5, -1, 0
427, 1800790, 3106, -65, 6, 8, 0, 1
